"ab_idx","all_names"
"514","COV2-2240"
"515","COV2-2241"
"516","COV2-2243"
"517","COV2-2245"
"518","COV2-2248"
"519","COV2-2250"
"520","COV2-2251"
"521","COV2-2253"
"522","COV2-2256"
"523","COV2-2257"
"524","COV2-2258"
"525","COV2-2260"
"526","COV2-2262"
"527","COV2-2263"
"528","COV2-2266"
"529","COV2-2268"
"530","COV2-2270"
"531","COV2-2273"
"532","COV2-2274"
"533","COV2-2277"
"534","COV2-2281"
"535","COV2-2287"
"536","COV2-2290"
"537","COV2-2293"
"538","COV2-2296"
"539","COV2-2299"
"540","COV2-2300"
"541","COV2-2304"
"542","COV2-2305"
"543","COV2-2307"
"544","COV2-2308"
"545","COV2-2310"
"546","COV2-2313"
"547","COV2-2318"
"548","COV2-2322"
"549","COV2-2325"
"550","COV2-2329"
"551","COV2-2331"
"552","COV2-2335"
"553","COV2-2337"
"554","COV2-2340"
"555","COV2-2341"
"556","COV2-2342"
"557","COV2-2343"
"558","COV2-2346"
"559","COV2-2351"
"560","COV2-2352"
"561","COV2-2353"
"562","COV2-2354"
"563","COV2-2355"
"564","COV2-2357"
"565","COV2-2358"
"566","COV2-2367"
"567","COV2-2368"
"568","COV2-2369"
"569","COV2-2370"
"570","COV2-2371"
"571","COV2-2373"
"572","COV2-2378"
"573","COV2-2381"
"574","COV2-2382"
"575","COV2-2383"
"576","COV2-2384"
"577","COV2-2386"
"578","COV2-2387"
"579","COV2-2388"
"580","COV2-2389"
"581","COV2-2391"
"582","COV2-2394"
"583","COV2-2397"
"584","COV2-2399"
"585","COV2-2400"
"586","COV2-2401"
"587","COV2-2403"
"588","COV2-2405"
"589","COV2-2406"
"590","COV2-2408"
"591","COV2-2413"
"592","COV2-2416"
"593","COV2-2417"
"594","COV2-2418"
"595","COV2-2420"
"596","COV2-2422"
"597","COV2-2427"
"598","COV2-2428"
"599","COV2-2429"
"600","COV2-2430"
"601","COV2-2434"
"602","COV2-2438"
"603","COV2-2441"
"604","COV2-2444"
"605","COV2-2445"
"606","COV2-2446"
"607","COV2-2449"
"608","COV2-2450"
"609","COV2-2451"
"610","COV2-2453"
"611","COV2-2454"
"612","COV2-2455"
"613","COV2-2458"
"614","COV2-2459"
"615","COV2-2461"
"616","COV2-2462"
"617","COV2-2464"
"618","COV2-2465"
"619","COV2-2466"
"620","COV2-2473"
"621","COV2-2474"
"622","COV2-2478"
"623","COV2-2479"
"624","COV2-2481"
"625","COV2-2485"
"626","COV2-2488"
"627","COV2-2489"
"628","COV2-2490"
"629","COV2-2495"
"630","COV2-2496"
"631","COV2-2499"
"632","COV2-2504"
"633","COV2-2509"
"634","COV2-2510"
"635","COV2-2513"
"636","COV2-2514"
"637","COV2-2515"
"638","COV2-2516"
"639","COV2-2517"
"640","COV2-2518"
"641","COV2-2520"
"642","COV2-2521"
"643","COV2-2524"
"644","COV2-2525"
"645","COV2-2526"
"646","COV2-2527"
"647","COV2-2529"
"648","COV2-2531"
"649","COV2-2532"
"650","COV2-2533"
"651","COV2-2536"
"652","COV2-2539"
"653","COV2-2545"
"654","COV2-2546"
"655","COV2-2549"
"656","COV2-2551"
"657","COV2-2552"
"658","COV2-2553"
"659","COV2-2554"
"660","COV2-2558"
"661","COV2-2562"
"662","COV2-2563"
"663","COV2-2564"
"664","COV2-2565"
"665","COV2-2570"
"666","COV2-2571"
"667","COV2-2574"
"668","COV2-2582"
"669","COV2-2583"
"670","COV2-2584"
"671","COV2-2585"
"672","COV2-2586"
"673","COV2-2587"
"674","COV2-2589"
"675","COV2-2590"
"676","COV2-2602"
"677","COV2-2610"
"678","COV2-2611"
"679","COV2-2614"
"680","COV2-2616"
"681","COV2-2617"
"682","COV2-2618"
"683","COV2-2619"
"684","COV2-2620"
"685","COV2-2621"
"686","COV2-2622"
"687","COV2-2624"
"688","COV2-2628"
"689","COV2-2631"
"690","COV2-2632"
"691","COV2-2639"
"692","COV2-2641"
"693","COV2-2643"
"694","COV2-2656"
"695","COV2-2660"
"696","COV2-2669"
"697","COV2-2673"
"698","COV2-2675"
"699","COV2-2676"
"700","COV2-2677"
"701","COV2-2678"
"702","COV2-2681"
"703","COV2-2684"
"704","COV2-2685"
"705","COV2-2693"
"706","COV2-2694"
"707","COV2-2697"
"708","COV2-2700"
"709","COV2-2703"
"710","COV2-2705"
