"ab_idx","chain","V gene","source"
"1176","H","IGHV1-69","collected"
"1176","L","IGKV2-24","collected"
"1177","H","IGHV1-8","collected"
"1177","L","IGLV2-23","collected"
"1178","H","IGHV4-39","collected"
"1178","L","IGLV1-44","collected"
"1179","H","IGHV3-66","collected"
"1179","L","IGKV3-15","collected"
"117","H","IGHV3-66","collected"
"117","L","IGKV1-9","collected"
"1180","H","IGHV3-66","collected"
"1180","L","IGLV2-8","collected"
"1181","H","IGHV3-66","collected"
"1181","L","IGKV1-33","collected"
"1182","H","IGHV1-69","collected"
"1182","L","IGKV2-24","collected"
"1183","H","IGHV3-66","collected"
"1183","L","IGKV1-9","collected"
"1184","H","IGHV1-46","collected"
"1184","L","IGLV1-40","collected"
"1185","H","IGHV3-30","collected"
"1185","L","IGKV1-9","collected"
"1186","H","IGHV1-58","collected"
"1186","L","IGKV3D-20","collected"
"1187","H","IGHV5-10-1","collected"
"1187","L","IGLV1-40","collected"
"1188","H","IGHV4-59","collected"
"1188","L","IGKV3D-20","collected"
"1189","H","IGHV3-30","collected"
"1189","L","IGKV3-11","collected"
"118","H","IGHV6-1","collected"
"118","L","IGLV1-44","collected"
"1190","H","IGHV4-39","collected"
"1190","L","IGKV3-11","collected"
"1191","H","IGHV3-30","collected"
"1191","L","IGKV3D-20","collected"
"1192","H","IGHV3-30","collected"
"1192","L","IGKV1-39","collected"
"1193","H","IGHV5-51","collected"
"1193","L","IGKV3-15","collected"
"1194","H","IGHV3-7","collected"
"1194","L","IGLV3-19","collected"
"1195","H","IGHV3-15","collected"
"1195","L","IGLV3-19","collected"
"1196","H","IGHV3-30","collected"
"1196","L","IGKV1-9","collected"
"1197","H","IGHV5-10-1","collected"
"1197","L","IGKV2-28","collected"
"1198","H","IGHV3-30","collected"
"1198","L","IGKV1-33","collected"
"1199","H","IGHV3-7","collected"
"1199","L","IGKV2-28","collected"
"119","H","IGHV6-1","collected"
"119","L","IGLV3-25","collected"
"11","H","IGHV3-30","collected"
"11","L","IGKV2-29","collected"
"1200","H","IGHV3-30","collected"
"1200","L","IGKV1-9","collected"
"1201","H","IGHV3-30","collected"
"1201","L","IGLV2-14","collected"
"1202","H","IGHV3-30","collected"
"1202","L","IGKV3D-20","collected"
"1203","H","IGHV1-46","collected"
"1203","L","IGKV3D-20","collected"
"1204","H","IGHV4-59","collected"
"1204","L","IGKV3D-20","collected"
"1205","H","IGHV4-59","collected"
"1205","L","IGKV2D-29","collected"
"1206","H","IGHV4-34","collected"
"1206","L","IGKV1-16","collected"
"1207","H","IGHV1-18","collected"
"1207","L","IGKV2-40","collected"
"1208","H","IGHV3-30","collected"
"1208","L","IGLV3-25","collected"
"1209","H","IGHV3-43","collected"
"1209","L","IGLV2-14","collected"
"120","H","IGHV4-31","collected"
"120","L","IGKV2-24","collected"
"1210","H","IGHV1-2","collected"
"1210","L","IGLV1-40","collected"
"1211","H","IGHV2-70","collected"
"1211","L","IGKV1-39","collected"
"1212","H","IGHV3-53","collected"
"1212","L","IGKV1-9","collected"
"1213","H","IGHV3-23","collected"
"1213","L","IGLV2-14","collected"
"1214","H","IGHV1-2","collected"
"1214","L","IGLV3-19","collected"
"1215","H","IGHV3-33","collected"
"1215","L","IGKV3D-20","collected"
"1216","H","IGHV1-2","collected"
"1216","L","IGKV3D-20","collected"
"1217","H","IGHV1-2","collected"
"1217","L","IGLV2-14","collected"
"1218","H","IGHV3-33","collected"
"1218","L","IGKV1-39","collected"
"1219","H","IGHV3-53","collected"
"1219","L","IGKV1-9","collected"
"121","H","IGHV4-39","collected"
"121","L","IGLV6-57","collected"
"1220","H","IGHV1-2","collected"
"1220","L","IGLV2-11","collected"
"1221","H","IGHV2-5","collected"
"1221","L","IGKV1-12","collected"
"1222","H","IGHV3-30","collected"
"1222","L","IGKV3D-20","collected"
"1223","H","IGHV4-39","collected"
"1223","L","IGKV3-11","collected"
"1224","H","IGHV3-23","collected"
"1224","L","IGLV2-14","collected"
"1225","H","IGHV5-51","collected"
"1225","L","IGKV3D-20","collected"
"1226","H","IGHV3-30","collected"
"1226","L","IGKV1-39","collected"
"1227","H","IGHV4-59","collected"
"1227","L","IGKV3D-20","collected"
"1228","H","IGHV3-30","collected"
"1228","L","IGKV1-39","collected"
"1229","H","IGHV3-30","collected"
"1229","L","IGKV1-39","collected"
"122","H","IGHV1-69","collected"
"122","L","IGKV1-27","collected"
"1230","H","IGHV3-30","collected"
"1230","L","IGKV1-39","collected"
"1231","H","IGHV1-69","collected"
"1231","L","IGKV3-11","collected"
"1232","H","IGHV5-51","collected"
"1232","L","IGKV3D-20","collected"
"1233","H","IGHV1-69","collected"
"1233","L","IGKV1-5","collected"
"1234","H","IGHV3-66","collected"
"1234","L","IGKV1-9","collected"
"1235","H","IGHV1-69","collected"
"1235","L","IGKV1-5","collected"
"1236","H","IGHV3-66","collected"
"1236","L","IGKV1-9","collected"
"1237","H","IGHV3-66","collected"
"1237","L","IGLV1-40","collected"
"1238","H","IGHV3-11","collected"
"1238","L","IGLV1-47","collected"
"1239","H","IGHV1-2","collected"
"1239","L","IGLV2-8","collected"
"123","H","IGHV3-33","collected"
"123","L","IGLV2-14","collected"
"1240","H","IGHV3-33","collected"
"1240","L","IGKV1-5","collected"
"1241","H","IGHV3-66","collected"
"1241","L","IGKV1-9","collected"
"1242","H","IGHV3-66","collected"
"1242","L","IGKV1-9","collected"
"1243","H","IGHV3-66","collected"
"1243","L","IGKV1-9","collected"
"1244","H","IGHV3-23","collected"
"1244","L","IGKV3-15","collected"
"1245","H","IGHV1-69","collected"
"1245","L","IGLV1-47","collected"
"1246","H","IGHV3-15","collected"
"1246","L","IGKV1-8","collected"
"1247","H","IGHV3-66","collected"
"1247","L","IGKV1-9","collected"
"1248","H","IGHV1-69","collected"
"1248","L","IGKV1-5","collected"
"1249","H","IGHV1-69","collected"
"1249","L","IGKV3D-20","collected"
"124","H","IGHV1-69","collected"
"124","L","IGKV1-39","collected"
"1250","H","IGHV3-66","collected"
"1250","L","IGLV1-51","collected"
"1251","H","IGHV1-69","collected"
"1251","L","IGKV1-9","collected"
"1252","H","IGHV3-30","collected"
"1252","L","IGKV1-9","collected"
"1253","H","IGHV4-4","collected"
"1253","L","IGLV3-21","collected"
"1254","H","IGHV3-30","collected"
"1254","L","IGKV3-11","collected"
"1255","H","IGHV3-66","collected"
"1255","L","IGLV1-44","collected"
"1256","H","IGHV1-18","collected"
"1256","L","IGKV1-39","collected"
"1257","H","IGHV4-34","collected"
"1257","L","IGKV1-39","collected"
"1258","H","IGHV4-4","collected"
"1258","L","IGKV3D-20","collected"
"1259","H","IGHV3-30","collected"
"1259","L","IGLV1-44","collected"
"125","H","IGHV1-69","collected"
"125","L","IGLV3-25","collected"
"1260","H","IGHV3-66","collected"
"1260","L","IGLV2-14","collected"
"1261","H","IGHV3-15","collected"
"1261","L","IGLV3-25","collected"
"1262","H","IGHV4-30-4","collected"
"1262","L","IGLV2-18","collected"
"1263","H","IGHV3-30","collected"
"1263","L","IGKV1-5","collected"
"1264","H","IGHV4-59","collected"
"1264","L","IGKV3D-20","collected"
"1265","H","IGHV1-2","collected"
"1265","L","IGLV2-23","collected"
"1266","H","IGHV3-33","collected"
"1266","L","IGKV1-39","collected"
"1267","H","IGHV3-30","collected"
"1267","L","IGKV1-39","collected"
"1268","H","IGHV4-59","collected"
"1268","L","IGKV3D-20","collected"
"1269","H","IGHV5-51","collected"
"1269","L","IGLV8-61","collected"
"126","H","IGHV3-21","collected"
"126","L","IGLV1-40","collected"
